Date,Interval_Price,midpoint
2022-12-16,"[133.729996, 137.649994]",135.689995
2022-12-19,"[131.320007, 135.199997]",133.260002
2022-12-20,"[129.889999, 133.25]",131.5699995
2022-12-21,"[132.75, 136.809998]",134.779999
2022-12-22,"[130.300003, 134.559998]",132.4300005
2022-12-23,"[129.639999, 132.419998]",131.02999849999998
2022-12-27,"[128.720001, 131.410004]",130.0650025
2022-12-28,"[125.870003, 131.029999]",128.450001
2022-12-29,"[127.730003, 130.479996]",129.1049995
2022-12-30,"[127.43, 129.949997]",128.6899985
2023-01-03,"[124.169998, 130.899994]",127.534996
2023-01-04,"[125.080002, 128.660004]",126.870003
2023-01-05,"[124.760002, 127.769997]",126.2649995
2023-01-06,"[124.889999, 130.289993]",127.58999600000001
2023-01-09,"[129.889999, 133.410004]",131.65000149999997
2023-01-10,"[128.119995, 131.259995]",129.689995
2023-01-11,"[130.460007, 133.509995]",131.985001
2023-01-12,"[131.440002, 134.259995]",132.8499985
2023-01-13,"[131.660004, 134.919998]",133.290001
2023-01-17,"[134.130005, 137.289993]",135.709999
2023-01-18,"[135.029999, 138.610001]",136.82
2023-01-19,"[133.770004, 136.25]",135.010002
2023-01-20,"[134.220001, 138.020004]",136.1200025
2023-01-23,"[137.899994, 143.320007]",140.6100005
2023-01-24,"[140.300003, 143.160004]",141.7300035
2023-01-25,"[138.809998, 142.429993]",140.61999550000002
2023-01-26,"[141.899994, 144.25]",143.074997
2023-01-27,"[143.080002, 147.229996]",145.154999
2023-01-30,"[142.850006, 145.550003]",144.2000045
2023-01-31,"[142.279999, 144.339996]",143.3099975
2023-02-01,"[141.320007, 146.610001]",143.96500400000002
2023-02-02,"[148.169998, 151.179993]",149.6749955
2023-02-03,"[147.830002, 157.380005]",152.6050035
2023-02-06,"[150.779999, 153.100006]",151.9400025
2023-02-07,"[150.639999, 155.229996]",152.9349975
2023-02-08,"[151.169998, 154.580002]",152.875
2023-02-09,"[150.419998, 154.330002]",152.375
2023-02-10,"[149.220001, 151.339996]",150.2799985
2023-02-13,"[150.919998, 154.259995]",152.58999649999998
2023-02-14,"[150.860001, 153.770004]",152.3150025
2023-02-15,"[152.880005, 155.5]",154.1900025
2023-02-16,"[153.350006, 156.330002]",154.84000400000002
2023-02-17,"[150.850006, 153.0]",151.925003
2023-02-21,"[148.410004, 151.300003]",149.8550035
2023-02-22,"[147.160004, 149.949997]",148.5550005
2023-02-23,"[147.240005, 150.339996]",148.79000050000002
2023-02-24,"[145.720001, 147.190002]",146.45500149999998
2023-02-27,"[147.449997, 149.169998]",148.3099975
2023-02-28,"[146.830002, 149.080002]",147.955002
2023-03-01,"[145.009995, 147.229996]",146.11999550000002
2023-03-02,"[143.899994, 146.710007]",145.3050005
2023-03-03,"[147.330002, 151.110001]",149.22000150000002
2023-03-06,"[153.460007, 156.300003]",154.88000499999998
2023-03-07,"[151.130005, 154.029999]",152.580002
2023-03-08,"[151.830002, 153.470001]",152.6500015
2023-03-09,"[150.229996, 154.539993]",152.3849945
2023-03-10,"[147.610001, 150.940002]",149.2750015
2023-03-13,"[147.699997, 153.139999]",150.419998
2023-03-14,"[150.100006, 153.399994]",151.75
2023-03-15,"[149.919998, 153.25]",151.58499899999998
2023-03-16,"[151.639999, 156.460007]",154.050003
2023-03-17,"[154.279999, 156.740005]",155.510002
2023-03-20,"[154.149994, 157.820007]",155.9850005
2023-03-21,"[156.539993, 159.399994]",157.9699935
2023-03-22,"[157.809998, 162.139999]",159.9749985
2023-03-23,"[157.679993, 161.550003]",159.614998
2023-03-24,"[157.850006, 160.339996]",159.09500100000002
2023-03-27,"[157.869995, 160.770004]",159.3199995
2023-03-28,"[155.979996, 158.490005]",157.2350005
2023-03-29,"[159.350006, 161.050003]",160.2000045
2023-03-30,"[161.270004, 162.470001]",161.8700025
2023-03-31,"[161.910004, 165.0]",163.45500199999998
2023-04-03,"[164.220001, 166.289993]",165.254997
2023-04-04,"[165.110001, 166.839996]",165.97499850000003
2023-04-05,"[161.800003, 165.050003]",163.425003
2023-04-06,"[162.0, 164.960007]",163.4800035
2023-04-10,"[160.080002, 162.029999]",161.0550005
2023-04-11,"[160.509995, 162.360001]",161.434998
2023-04-12,"[159.779999, 162.059998]",160.91999850000002
2023-04-13,"[161.419998, 165.800003]",163.6100005
2023-04-14,"[163.820007, 166.320007]",165.070007
2023-04-17,"[164.029999, 165.389999]",164.70999899999998
2023-04-18,"[165.649994, 167.410004]",166.52999899999998
2023-04-19,"[165.539993, 168.160004]",166.8499985
2023-04-20,"[165.559998, 167.869995]",166.71499649999998
2023-04-21,"[164.490005, 166.449997]",165.470001
2023-04-24,"[163.889999, 165.600006]",164.7450025
2023-04-25,"[163.729996, 166.309998]",165.019997
2023-04-26,"[162.800003, 165.279999]",164.04000100000002
2023-04-27,"[165.190002, 168.559998]",166.875
2023-04-28,"[167.880005, 169.850006]",168.8650055
2023-05-01,"[168.639999, 170.449997]",169.544998
2023-05-02,"[167.539993, 170.350006]",168.9449995
2023-05-03,"[167.160004, 170.919998]",169.040001
2023-05-04,"[164.309998, 167.039993]",165.67499550000002
2023-05-05,"[170.759995, 174.300003]",172.529999
2023-05-08,"[172.110001, 173.850006]",172.9800035
2023-05-09,"[171.600006, 173.539993]",172.5699995
2023-05-10,"[171.899994, 174.029999]",172.96499649999998
2023-05-11,"[172.169998, 174.589996]",173.379997
2023-05-12,"[171.0, 174.059998]",172.529999
2023-05-15,"[171.470001, 173.210007]",172.340004
2023-05-16,"[171.800003, 173.139999]",172.470001
2023-05-17,"[170.419998, 172.929993]",171.6749955
2023-05-18,"[172.580002, 175.240005]",173.91000350000002
2023-05-19,"[174.940002, 176.389999]",175.6650005
2023-05-22,"[173.449997, 174.710007]",174.08000199999998
2023-05-23,"[171.279999, 173.380005]",172.330002
2023-05-24,"[170.520004, 172.419998]",171.470001
2023-05-25,"[171.690002, 173.899994]",172.794998
2023-05-26,"[173.110001, 175.770004]",174.4400025
2023-05-30,"[176.570007, 178.990005]",177.78000600000001
2023-05-31,"[176.759995, 179.350006]",178.0550005
2023-06-01,"[176.929993, 180.119995]",178.524994
2023-06-02,"[179.259995, 181.779999]",180.519997
2023-06-05,"[178.039993, 184.949997]",181.49499500000002
2023-06-06,"[177.429993, 180.119995]",178.774994
2023-06-07,"[177.320007, 181.210007]",179.265007
2023-06-08,"[177.460007, 180.839996]",179.1500015
2023-06-09,"[180.630005, 182.229996]",181.4300005
2023-06-12,"[180.970001, 183.889999]",182.43
2023-06-13,"[182.440002, 184.149994]",183.294998
2023-06-14,"[182.020004, 184.389999]",183.20500149999998
2023-06-15,"[183.779999, 186.520004]",185.1500015
2023-06-16,"[184.270004, 186.990005]",185.63000449999998
2023-06-20,"[184.410004, 186.100006]",185.25500499999998
2023-06-21,"[182.589996, 185.410004]",184.0
2023-06-22,"[183.669998, 187.050003]",185.3600005
2023-06-23,"[185.009995, 187.559998]",186.2849965
2023-06-26,"[185.229996, 188.050003]",186.6399995
2023-06-27,"[185.669998, 188.389999]",187.02999849999998
2023-06-28,"[187.600006, 189.899994]",188.75
2023-06-29,"[188.940002, 190.070007]",189.50500449999998
2023-06-30,"[191.259995, 194.479996]",192.86999550000002
